Subject,Stimulus,code,End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y, Amplitude [F],Position X AOI,Position Y AOI, Velocity  Average [F/s],Velocity  Peak [F/s],Peak Velocity at [%],Eye L/R,Number
3,5p right.jpg,1,1492,863,16,879,706.3,353.9,699.9,357.1,0.2,727.5,332.5,12.1,14.8,100,Left,3
3,6a right.jpg,1,1485,735,49,785,533.4,333.7,433.2,363.4,3.8,396.3,363,76.7,215.1,100,Left,1
3,6a right.jpg,1,1485,885,66,951,361.9,376.4,722.9,372.5,7.3,371.1,380.6,109.9,305.2,50,Left,2
3,6a right.jpg,1,1485,1085,100,1185,706.2,363.8,353.4,347,35.7,524.6,378.5,356.6,911.4,66.8,Left,3
3,6p left.jpg,1,1492,348,66,415,499.1,367.2,487.7,333.7,17.5,713.3,339.9,262.7,788.2,25.1,Left,1
3,6p left.jpg,1,1492,498,66,565,515.2,346.3,517.5,330.6,2.2,713.3,339.9,33.1,64.3,50,Left,2
3,6p left.jpg,1,1492,998,16,1015,350.5,386.8,347.7,387.6,0.1,371.1,380.6,7.5,8.4,100,Left,3
3,7a left.jpg,1,1487,270,116,387,543.6,348.1,639.9,313.3,29.8,350,384.1,255.6,582.5,43.1,Left,1
3,7a left.jpg,1,1487,1337,16,1354,687.6,326.6,688.5,327,0.1,525.1,370.8,4.4,7.5,100,Left,2
3,7p right.jpg,1,1485,568,16,585,574.3,379.7,684.4,376.7,1.7,350,384.1,104.1,227.9,100,Left,1
3,7p right.jpg,1,1485,1418,66,1485,711.7,344.5,388.7,796.4,54,533.5,383,810.1,1795.7,75,Left,2
3,8a right.jpg,1,1492,326,66,393,484.1,368.4,504.1,340.9,21,722.6,384.7,314.6,893.2,75,Left,1
3,8a right.jpg,1,1492,626,33,659,525.4,354.8,389.5,372.1,2.6,722.6,384.7,77.2,257.4,100,Left,2
3,8a right.jpg,1,1492,843,16,859,310.1,379.7,304,380.7,0.2,528.2,368.1,11.7,13.8,0,Left,3
3,8a right.jpg,1,1492,1143,16,1159,225.1,400.7,224,400.3,0,720.4,336.3,2.2,2.9,0,Left,4
3,8p left.jpg,1,1492,496,33,530,518.9,341.5,391.6,361.2,2.5,720.4,336.3,73.9,203.6,49.8,Left,1
3,8p left.jpg,1,1492,1379,16,1396,347.1,388.8,348.5,389.3,0.1,315.8,361.3,3,4.3,100,Left,2
3,9a right.jpg,1,1486,970,16,986,253.9,330.9,253.9,328.7,0.1,313.5,355.2,4.9,5.8,100,Left,1
3,9a right.jpg,1,1486,1420,66,1486,278.6,280.9,303.2,223.4,27.3,520.6,370.2,410.3,880.9,75.1,Left,2
3,9p right.jpg,1,1490,191,16,207,503.5,350.9,656.5,351.2,1.9,315.8,361.3,117,316.4,100,Left,1
3,9p right.jpg,1,1490,324,133,457,690,371.8,391.7,356.1,46,313.5,355.2,345.3,1099.5,37.4,Left,2
4,10a right.jpg,2,1485,268,16,285,511.5,362.4,621.3,362.9,1.5,347.9,372.1,90.1,227.2,100,Left,1
4,10a right.jpg,2,1485,1252,16,1268,527.2,354.5,526,353.7,0.1,514,377.1,3.7,5.4,100,Left,2
4,10p right.jpg,2,1489,289,16,305,570.7,364.5,673.8,364.4,1.5,347.9,372.1,91,213.3,100,Left,1
4,10p right.jpg,2,1489,822,33,855,707.3,376.5,534.2,372.9,2.9,302.5,376,85.9,219.8,50.2,Left,2
4,11p right.jpg,2,1492,377,99,477,443.8,393,510.9,375,7.5,530.2,369.9,75.4,176.4,100,Left,1
4,11p right.jpg,2,1492,893,16,910,697.3,339.1,701.8,343.4,0.2,302.5,376,14.3,37.2,100,Left,2
4,12p left.jpg,2,1488,638,16,654,510.3,380.8,400.4,379.2,1.6,518.4,378.1,96.9,227.3,100,Left,1
